"trial","timestamp","event","data"
1,154199,"DISPLAY_ON","GREEN-green.png"
1,154603,"VOICE_KEY",""
2,156711,"DISPLAY_ON","GREEN-brown.png"
2,157579,"VOICE_KEY",""
3,159535,"DISPLAY_ON","BLUE-blue.png"
3,160042,"VOICE_KEY",""
4,161969,"DISPLAY_ON","BLUE-brown.png"
4,162648,"VOICE_KEY",""
5,164360,"DISPLAY_ON","BROWN-green.png"
5,165241,"VOICE_KEY",""
6,167228,"DISPLAY_ON","GREEN-purple.png"
6,168085,"VOICE_KEY",""
7,169960,"DISPLAY_ON","RED-brown.png"
7,170365,"VOICE_KEY",""
8,172403,"DISPLAY_ON","BLUE-green.png"
8,173266,"VOICE_KEY",""
9,175270,"DISPLAY_ON","BROWN-brown.png"
9,175701,"VOICE_KEY",""
10,177910,"DISPLAY_ON","GREEN-green.png"
10,178316,"VOICE_KEY",""
11,180569,"DISPLAY_ON","BROWN-purple.png"
11,181145,"VOICE_KEY",""
12,182921,"DISPLAY_ON","BROWN-blue.png"
12,183811,"VOICE_KEY",""
13,185567,"DISPLAY_ON","RED-brown.png"
13,186645,"VOICE_KEY",""
14,188937,"DISPLAY_ON","RED-red.png"
14,189513,"VOICE_KEY",""
15,191679,"DISPLAY_ON","PURPLE-purple.png"
15,192243,"VOICE_KEY",""
16,194080,"DISPLAY_ON","RED-red.png"
16,194504,"VOICE_KEY",""
17,196238,"DISPLAY_ON","BROWN-brown.png"
17,196886,"VOICE_KEY",""
18,199034,"DISPLAY_ON","BLUE-blue.png"
18,199876,"VOICE_KEY",""
19,202349,"DISPLAY_ON","BLUE-green.png"
19,203136,"VOICE_KEY",""
20,205259,"DISPLAY_ON","BROWN-purple.png"
20,206052,"VOICE_KEY",""
21,207763,"DISPLAY_ON","BLUE-red.png"
21,208905,"VOICE_KEY",""
22,211288,"DISPLAY_ON","BROWN-red.png"
22,212132,"VOICE_KEY",""
23,214085,"DISPLAY_ON","PURPLE-green.png"
23,214914,"VOICE_KEY",""
24,216689,"DISPLAY_ON","GREEN-red.png"
24,217393,"VOICE_KEY",""
25,219578,"DISPLAY_ON","GREEN-green.png"
25,220394,"VOICE_KEY",""
26,222597,"DISPLAY_ON","PURPLE-purple.png"
26,223496,"VOICE_KEY",""
27,225265,"DISPLAY_ON","PURPLE-red.png"
27,226289,"VOICE_KEY",""
28,228153,"DISPLAY_ON","RED-green.png"
28,228894,"VOICE_KEY",""
29,230786,"DISPLAY_ON","BLUE-blue.png"
29,231633,"VOICE_KEY",""
30,233887,"DISPLAY_ON","RED-red.png"
30,234339,"VOICE_KEY",""
31,236721,"DISPLAY_ON","BROWN-brown.png"
31,237124,"VOICE_KEY",""
32,239471,"DISPLAY_ON","PURPLE-purple.png"
32,240018,"VOICE_KEY",""
33,242501,"DISPLAY_ON","PURPLE-blue.png"
33,243402,"VOICE_KEY",""
34,245505,"DISPLAY_ON","PURPLE-purple.png"
34,245934,"VOICE_KEY",""
35,247850,"DISPLAY_ON","GREEN-green.png"
35,248491,"VOICE_KEY",""
36,250401,"DISPLAY_ON","GREEN-blue.png"
36,251546,"VOICE_KEY",""
37,253853,"DISPLAY_ON","PURPLE-purple.png"
37,254615,"VOICE_KEY",""
38,256326,"DISPLAY_ON","PURPLE-blue.png"
38,257144,"VOICE_KEY",""
39,259077,"DISPLAY_ON","PURPLE-brown.png"
39,260003,"VOICE_KEY",""
40,262365,"DISPLAY_ON","RED-purple.png"
40,263134,"VOICE_KEY",""
41,265341,"DISPLAY_ON","RED-red.png"
41,265847,"VOICE_KEY",""
42,267563,"DISPLAY_ON","RED-red.png"
42,268014,"VOICE_KEY",""
43,270329,"DISPLAY_ON","BLUE-purple.png"
43,271139,"VOICE_KEY",""
44,273623,"DISPLAY_ON","BROWN-brown.png"
44,274087,"VOICE_KEY",""
45,275855,"DISPLAY_ON","BLUE-blue.png"
45,276381,"VOICE_KEY",""
46,278706,"DISPLAY_ON","BROWN-brown.png"
46,279100,"VOICE_KEY",""
47,281068,"DISPLAY_ON","GREEN-red.png"
47,282081,"VOICE_KEY",""
48,284027,"DISPLAY_ON","RED-blue.png"
48,284817,"VOICE_KEY",""
49,286575,"DISPLAY_ON","BLUE-blue.png"
49,287430,"VOICE_KEY",""
50,289249,"DISPLAY_ON","GREEN-green.png"
50,289669,"VOICE_KEY",""
